Manufacturer;Model;Applications;Thrust (dry);Thrust (wet);Thrust (cruise);Specific Fuel Consumption (dry);Specific Fuel Consumption (wet);Specific Fuel Consumption (cruise);Total Airflow;Overall Pressure Ratio;FPR;Bypass Ratio;Cruise Altitude;Spools Count;Fan Stages;Low-Pressure Compressor;High-Pressure Compressor;High-Pressure Turbine;Intermediate-Pressure Turbine;Low-Pressure Turbine;Fan Width;Length;Width/Diameter;Weight (dry);semicomma
Bristol Siddeley (Rolls-Royce);Viper Mk.522;HS 125-3/-3A/-3B/-400B/-403B/-600;3.360;-;;1;-;;;5,6;-;-;;1;-;-;8;1;-;-;-;92,9;28,9;760;
Bristol Siddeley (Rolls-Royce);Viper Mk.526;PD-808;;-;;;-;;;;-;-;;1;-;-;8;1;-;-;-;;;;
CFE;CFE738-1-1B;Falcon 2000;5.725;-;1.464;0,372;-;0,645;210;23;1,7;5,3;40.000;2;1;-;5 + 1C;2;-;3;35,5;99;48;1.325;
CFM;CFM56-2A2;(see military turbofan specifications);;-;;;-;;;;;;;;;;;;;;;;;;
CFM;CFM56-2A3;(see military turbofan specifications);;-;;;-;;;;;;;;;;;;;;;;;;
CFM;CFM56-2B1;(see military turbofan specifications);;-;;;-;;;;;;;;;;;;;;;;;;
CFM;CFM56-2C1;DC-8-71F/-72/-72F/-73F, DC-8-71/-73 (option);22.000;-;4.980;0,35;-;0,671;788;24,7;;6;35.000;2;1;3B;9;1;-;4;68,3;95,7;72;4.635;
CFM;CFM56-2C2;Trident;24.000;-;;0,36;-;;;26,5;;;;2;1;3B;9;1;-;4;68,3;95,7;72;;
CFM;CFM56-2C3;DC-8-71/-71F/-72/-72F/-73/-73F (option);;-;;;-;;;;;;;2;1;3B;9;1;-;4;68,3;95,7;72;4.635;
CFM;CFM56-2C5;DC-8-72, DC-8-71/-71F/-72F/-73/-73F (option);;-;;;-;;;;;;;2;1;3B;9;1;-;4;68,3;95,7;72;4.635;
CFM;CFM56-2C6;DC-8-71/-71F/-72/-72F/-73/-73F (option);;-;;;-;;;;;;;2;1;3B;9;1;-;4;68,3;95,7;72;4.635;
CFM;CFM56-3B1;737-300/-300(QC)/-500, 737-400 (option);20.000;-;4.650;0,38;-;0,667;655;22,6;;6;35.000;2;1;3B;9;1;-;4;60;93,1;63;4.276;
CFM;CFM56-3B2;737-300/-300(QC)/-300F/-400;22.000;-;5.040;0,39;-;0,667;683;24,3;;5,9;35.000;2;1;3B;9;1;-;4;60;93,1;63;4.301;
CFM;CFM56-3C1;737-300/-300(QC)/-300F/-400/-500;23.500;-;5.370;0,33;-;0,667;710;25,7;;6;35.000;2;1;3B;9;1;-;4;60;93,1;63;4.301;
CFM;CFM56-3C3;737-300, 737-300(QC)/-300F/-400/-500 (option);;-;;;-;;;;;;;2;1;3B;9;1;-;4;60;93,1;63;;
CFM;CFM56-5A1;A320-211/-311;25.000;-;5.000;0,33;-;0,596;852;26,5;;6;35.000;2;1;3B;9;1;-;4;68,3;95,4;72;4.995;
CFM;CFM56-5A3;A320-212;26.500;-;5.000;0,33;-;0,596;876;27,8;;6;35.000;2;1;3B;9;1;-;4;68,3;95,4;72;4.995;
CFM;CFM56-5A4;A319-113;22.000;-;5.000;0,32;-;;816;24,1;;6,2;35.000;2;1;3B;9;1;-;4;68,3;95,4;72;4.975;
CFM;CFM56-5A5;A319-114;23.500;-;5.000;0,32;-;;842;25,4;;6,2;35.000;2;1;3B;9;1;-;4;68,3;95,4;72;4.975;
CFM;CFM56-5B1;A321-111;30.000;-;5.840;0,35;-;0,596;943;32;;5,5;35.000;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B1/P;A321-111;30.000;-;;0,35;-;;943;32;;5,5;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B1/2;A321-111;30.000;-;;0,35;-;;943;32;;5,5;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B1/2P;;;-;;;-;;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B2;A321-112;31.000;-;5.840;0,35;-;0,545;956;32,9;;5,5;35.000;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B2/P;A321-112;31.000;-;;0,35;-;;956;32,9;;5,5;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B2/2;;;-;;;-;;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B2/2P;;;-;;;-;;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B3;A321-211;32.000;-;5.840;0,36;-;;956;33,7;;5,4;35.000;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B3/P;A321-211;32.000;-;;0,36;-;;956;33,7;;5,4;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B3/2P;A321-211;32.000;-;;0,36;-;;;33,7;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B4;A320-214;27.000;-;5.000;0,34;-;0,545;897;29,1;;5,7;35.000;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B4/P;A320-214;27.000;-;;0,34;-;;897;29,1;;5,7;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B4/2;A320-214;27.000;-;;0,34;-;;897;29,1;;5,7;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B4/2P;A320-214;27.000;-;;0,34;-;;897;29,1;;5,7;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B5;A319-111;22.000;-;;0,32;-;;818;24,4;;6;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B5/P;A319-111;22.000;-;;0,32;-;;818;24,4;;6;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B6;A319-112;23.500;-;;0,33;-;;844;25,8;;5,9;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B6/P;A319-112;23.500;-;;0,33;-;;844;25,8;;5,9;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B6/2;A319-112;23.500;-;;0,33;-;;844;25,8;;5,9;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B6/2P;A319-112;23.500;-;;0,33;-;;844;25,8;;5,9;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B7;;;-;;;-;;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B7/P;A319-115/-115CJ/-115XCJ;27.000;-;;0,34;-;;;29,1;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B8/P;A318-111;29.000;-;;;-;;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5B9/P;A318-112;29.000;-;;;-;;;;;;;2;1;4B;9;1;-;4;68,3;102,4;72;5.250;
CFM;CFM56-5C2;A340-211/-311;31.200;-;6.915;0,32;-;0,545;1027;31,5;;6,6;35.000;2;1;4B;9;1;-;5;72,3;103;76,6;5.700;
CFM;CFM56-5C2/4;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C2/F;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C2/F4;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C2/G;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C2/G4;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C3;A340-212/-312;32.500;-;6.910;0,32;-;0,545;1045;32,6;;6,5;35.000;2;1;4B;9;1;-;5;72,3;103;76,6;5.700;
CFM;CFM56-5C3/F;A340-312;32.500;-;;0,32;-;;1045;32,6;;6,5;;2;1;4B;9;1;-;5;72,3;103;76,6;5.700;
CFM;CFM56-5C3/F4;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C3/G;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C3/G4;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-5C4;A340-213/-213X/-313/-313X;34.000;-;7.100;0,33;-;0,545;1065;33,9;;6,4;35.000;2;1;4B;9;1;-;5;72,3;103;76,6;5.700;
CFM;CFM56-5C4/1;;;-;;;-;;;;;;;2;1;4B;9;1;-;5;72,3;103;76,6;;
CFM;CFM56-7B18;737-600 (option);18.500;-;5.420;0,35;-;;667;21,7;;5,6;35.000;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B20;737-600/-700;20.600;-;5.450;0,36;-;0,633;686;22,7;;5,6;35.000;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B20/2;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B22;737-600/-700/-700BBJ/-800/-800BBJ2;22.000;-;5.450;;-;;726;24,6;;5,4;35.000;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B22/2;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B22/B1;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B24;737-700/-800/-900, 737-700BBJ/-800BBJ2 (option);24.000;-;5.480;0,37;-;0,627;754;26;;5,3;35.000;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B24/2;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B24/B1;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B26;737-700/-700BBJ/-800/-800BBJ2/-900;26.400;-;5.480;0,38;-;;783;27,9;;5,1;35.000;2;1;3B;9;1;-;4;61;98,9;65;5.216;
CFM;CFM56-7B26/2;;;-;;;-;;;;;;;2;1;3B;9;1;-;4;61;98,9;65;5.216;
